Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type,Weather_Label
15.0,87,5.0,68.0,Partly Cloudy,1013.81,2,Spring,5.0,Inland,Rainy,1
3.0,81,9.5,93.0,Overcast,982.62,0,Winter,1.5,Mountain,Snowy,2
15.0,53,11.5,41.0,Partly Cloudy,1012.1,3,Winter,7.5,Coastal,Cloudy,0
33.0,80,9.5,53.0,Overcast,994.51,2,Autumn,3.5,Mountain,Rainy,1
27.0,66,4.0,1.0,Clear,1022.64,9,Summer,7.5,Inland,Sunny,3
36.0,81,8.0,97.0,Clear,1014.11,10,Spring,9.5,Coastal,Sunny,3
21.0,61,6.0,17.0,Overcast,1019.35,3,Autumn,6.5,Inland,Cloudy,0
17.0,94,12.5,79.0,Overcast,1015.11,3,Winter,2.0,Mountain,Rainy,1
31.0,91,26.25,100.0,Overcast,995.61,8,Summer,4.5,Inland,Rainy,1
-3.0,65,9.0,55.0,Overcast,994.87,0,Winter,4.0,Inland,Snowy,2
29.0,30,6.0,12.0,Clear,1012.61,10,Winter,8.5,Mountain,Sunny,3
34.0,78,9.0,42.0,Partly Cloudy,1005.0,1,Winter,8.5,Inland,Cloudy,0
24.0,41,3.0,11.0,Clear,1020.28,7,Autumn,7.0,Coastal,Sunny,3
20.0,32,5.0,2.0,Partly Cloudy,1019.85,8,Winter,5.0,Mountain,Sunny,3
35.0,55,9.0,9.0,Partly Cloudy,1012.58,9,Summer,8.0,Inland,Sunny,3
-2.0,82,19.5,85.0,Overcast,981.3,1,Winter,4.0,Mountain,Snowy,2
17.0,72,2.5,40.0,Partly Cloudy,1005.31,3,Spring,9.0,Mountain,Cloudy,0
-5.0,68,8.0,56.0,Partly Cloudy,995.63,1,Winter,2.0,Mountain,Snowy,2
9.0,73,10.0,84.0,Overcast,1000.06,14,Spring,8.0,Mountain,Cloudy,0
15.0,65,5.0,10.0,Partly Cloudy,1009.5,4,Winter,6.5,Mountain,Cloudy,0
23.0,21,6.5,17.0,Partly Cloudy,1049.7312500000003,7,Winter,7.5,Coastal,Snowy,2
10.0,73,10.5,49.0,Overcast,1010.36,1,Winter,5.5,Inland,Cloudy,0
-7.0,69,3.0,86.0,Overcast,991.57,1,Winter,5.0,Mountain,Snowy,2
41.0,56,4.5,6.0,Partly Cloudy,1018.48,8,Autumn,9.0,Mountain,Sunny,3
-7.0,93,0.5,51.0,Overcast,997.63,1,Winter,5.0,Mountain,Snowy,2
-2.0,100,19.5,100.0,Partly Cloudy,980.83,0,Winter,5.0,Inland,Snowy,2
57.0,100,11.0,71.0,Partly Cloudy,1007.55,1,Summer,1.0,Coastal,Rainy,1
24.0,94,19.5,58.0,Overcast,1003.36,0,Spring,2.5,Inland,Rainy,1
16.0,52,4.0,29.0,Overcast,1009.5,4,Autumn,6.0,Inland,Cloudy,0
28.0,37,7.0,16.0,Partly Cloudy,1021.88,6,Spring,5.0,Mountain,Sunny,3
2.0,69,9.5,93.0,Overcast,985.77,0,Winter,2.0,Mountain,Snowy,2
28.0,67,3.0,18.0,Clear,1017.89,10,Winter,7.5,Inland,Sunny,3
37.0,76,10.5,86.0,Overcast,1049.7312500000003,3,Winter,4.5,Mountain,Cloudy,0
42.0,85,26.25,100.0,Overcast,1007.39,11,Summer,2.5,Mountain,Rainy,1
36.0,21,6.5,6.0,Clear,1021.77,8,Spring,5.0,Mountain,Sunny,3
-1.0,56,5.0,70.0,Cloudy,1018.08,14,Winter,8.0,Inland,Snowy,2
-6.0,80,1.5,74.0,Overcast,999.42,13,Winter,4.5,Inland,Snowy,2
40.0,99,13.0,100.0,Partly Cloudy,1011.41,12,Autumn,2.0,Coastal,Cloudy,0
20.0,29,4.5,5.0,Clear,1010.43,6,Winter,6.0,Mountain,Sunny,3
71.5,100,2.5,92.0,Partly Cloudy,1022.18,6,Winter,5.0,Mountain,Sunny,3
25.0,57,13.5,22.0,Overcast,1005.37,1,Winter,5.5,Inland,Cloudy,0
47.0,100,5.5,100.0,Clear,1027.75,12,Autumn,4.0,Coastal,Sunny,3
17.0,65,7.0,64.0,Partly Cloudy,1004.05,0,Spring,4.0,Mountain,Rainy,1
-15.0,74,6.5,53.0,Cloudy,961.8412499999998,6,Summer,8.0,Mountain,Cloudy,0
71.5,74,19.5,81.0,Partly Cloudy,1022.21,10,Spring,9.0,Coastal,Sunny,3
10.0,20,9.0,60.0,Partly Cloudy,961.8412499999998,7,Spring,4.5,Inland,Rainy,1
42.0,62,8.5,13.0,Clear,1026.68,5,Summer,10.0,Coastal,Sunny,3
16.0,67,9.0,16.0,Overcast,1007.01,1,Winter,7.5,Mountain,Cloudy,0
41.0,53,2.5,1.0,Clear,1015.42,9,Spring,7.5,Coastal,Sunny,3
3.0,82,17.0,59.0,Overcast,984.41,0,Winter,4.0,Mountain,Snowy,2
30.0,60,11.0,15.0,Partly Cloudy,1014.3,2,Winter,7.0,Mountain,Cloudy,0
3.0,97,20.0,89.0,Partly Cloudy,983.22,0,Winter,4.0,Inland,Snowy,2
49.0,34,3.0,64.0,Overcast,1049.7312500000003,9,Autumn,5.0,Coastal,Sunny,3
37.0,36,8.5,0.0,Clear,1026.5,6,Autumn,6.5,Inland,Sunny,3
26.0,24,3.0,17.0,Clear,1010.01,6,Summer,5.5,Coastal,Sunny,3
24.0,63,8.5,67.0,Overcast,990.04,3,Autumn,4.5,Coastal,Rainy,1
66.0,83,18.0,92.0,Partly Cloudy,999.46,14,Winter,3.0,Coastal,Rainy,1
19.0,70,10.0,21.0,Partly Cloudy,1014.9,1,Winter,6.5,Inland,Cloudy,0
26.0,51,4.5,46.0,Overcast,961.8412499999998,2,Summer,0.5,Mountain,Sunny,3
25.0,23,0.5,1.0,Clear,1026.46,10,Summer,7.0,Coastal,Sunny,3
0.0,100,19.5,85.0,Overcast,988.97,12,Winter,5.0,Mountain,Snowy,2
30.0,38,5.0,2.0,Clear,1018.18,5,Summer,9.5,Mountain,Sunny,3
22.0,72,12.0,69.0,Overcast,1018.8,1,Spring,2.5,Coastal,Rainy,1
29.0,71,21.0,86.0,Partly Cloudy,1013.77,12,Winter,6.5,Inland,Cloudy,0
32.0,100,26.25,100.0,Partly Cloudy,1015.36,3,Winter,11.5,Mountain,Cloudy,0
24.0,88,26.25,76.0,Partly Cloudy,1005.61,1,Spring,1.5,Coastal,Rainy,1
20.0,67,7.0,6.0,Clear,1025.47,5,Spring,5.5,Inland,Sunny,3
16.0,76,6.0,36.0,Partly Cloudy,1007.38,2,Summer,9.0,Inland,Cloudy,0
-4.0,100,9.5,98.0,Partly Cloudy,990.81,10,Winter,1.5,Mountain,Snowy,2
21.0,41,14.5,56.0,Cloudy,961.8412499999998,4,Summer,14.25,Inland,Cloudy,0
32.0,49,2.5,9.0,Clear,1012.59,7,Summer,5.0,Inland,Sunny,3
11.0,80,7.5,86.0,Overcast,1006.4,0,Winter,1.5,Inland,Rainy,1
-17.0,72,8.5,73.0,Overcast,998.45,1,Winter,2.0,Inland,Snowy,2
4.0,95,12.5,91.0,Overcast,993.44,7,Winter,4.0,Mountain,Snowy,2
16.0,55,5.5,45.0,Overcast,1007.32,1,Spring,7.0,Mountain,Cloudy,0
-4.0,82,2.0,65.0,Overcast,982.57,0,Winter,1.5,Inland,Snowy,2
15.0,22,2.5,92.0,Overcast,977.7,12,Winter,5.0,Mountain,Snowy,2
-16.0,100,18.0,97.0,Overcast,993.16,11,Winter,2.0,Mountain,Snowy,2
1.0,83,17.5,86.0,Overcast,984.97,1,Winter,1.0,Mountain,Snowy,2
29.0,67,1.5,5.0,Clear,1024.29,5,Summer,8.0,Coastal,Sunny,3
23.0,70,12.5,100.0,Overcast,997.59,0,Winter,2.5,Mountain,Rainy,1
-1.0,62,3.5,82.0,Overcast,993.44,1,Winter,3.0,Inland,Snowy,2
28.0,78,4.5,49.0,Partly Cloudy,1003.87,2,Autumn,7.0,Coastal,Cloudy,0
4.0,60,17.0,76.0,Overcast,991.03,1,Winter,5.0,Mountain,Snowy,2
31.0,92,4.0,99.0,Partly Cloudy,1010.9,14,Autumn,4.5,Coastal,Sunny,3
44.0,100,3.0,86.0,Clear,1015.64,9,Winter,7.5,Mountain,Sunny,3
33.0,85,16.0,58.0,Overcast,1004.52,2,Spring,2.0,Mountain,Rainy,1
37.0,77,16.0,75.0,Clear,1018.29,3,Winter,5.5,Mountain,Sunny,3
28.0,79,7.0,23.0,Partly Cloudy,1018.36,4,Autumn,8.5,Coastal,Cloudy,0
-19.0,59,4.0,11.0,Overcast,1022.41,1,Autumn,14.25,Mountain,Snowy,2
20.0,100,15.0,83.0,Overcast,1015.89,10,Spring,6.5,Inland,Cloudy,0
61.0,100,7.5,85.0,Overcast,1005.83,11,Autumn,5.0,Coastal,Cloudy,0
24.0,71,12.0,59.0,Overcast,1004.05,2,Winter,1.0,Coastal,Rainy,1
22.0,63,11.5,12.0,Partly Cloudy,1014.55,1,Autumn,7.0,Inland,Cloudy,0
33.0,68,2.5,13.0,Partly Cloudy,1004.61,2,Spring,7.5,Mountain,Cloudy,0
41.0,36,8.5,3.0,Clear,1029.51,8,Spring,6.5,Coastal,Sunny,3
36.0,58,8.0,1.0,Clear,1015.16,9,Autumn,8.5,Mountain,Sunny,3
40.0,40,8.0,1.0,Clear,1013.26,11,Summer,5.5,Coastal,Sunny,3
7.0,76,17.5,100.0,Overcast,1019.09,2,Autumn,5.5,Coastal,Rainy,1
11.0,61,11.5,99.0,Overcast,994.58,1,Summer,4.0,Mountain,Rainy,1
2.0,75,9.0,100.0,Overcast,994.71,5,Winter,0.5,Inland,Snowy,2
22.0,53,3.0,16.0,Partly Cloudy,1023.32,6,Winter,7.5,Coastal,Sunny,3
30.0,98,10.0,59.0,Partly Cloudy,998.56,3,Autumn,3.0,Inland,Rainy,1
25.0,32,8.5,82.0,Partly Cloudy,961.8412499999998,12,Summer,14.25,Coastal,Sunny,3
15.0,78,16.0,100.0,Overcast,993.73,10,Autumn,0.5,Inland,Rainy,1
10.0,76,11.5,71.0,Cloudy,1049.7312500000003,12,Spring,3.0,Mountain,Snowy,2
13.0,67,9.0,51.0,Overcast,1008.38,2,Spring,3.5,Coastal,Rainy,1
43.0,30,4.0,97.0,Partly Cloudy,995.64,11,Summer,14.25,Inland,Snowy,2
-5.0,66,5.0,68.0,Overcast,994.28,0,Winter,1.5,Mountain,Snowy,2
22.0,46,2.0,12.0,Partly Cloudy,1019.55,6,Winter,9.5,Mountain,Sunny,3
31.0,97,20.0,54.0,Overcast,1003.01,1,Spring,4.5,Mountain,Rainy,1
16.0,61,13.0,80.0,Overcast,995.72,3,Winter,5.0,Coastal,Rainy,1
19.0,82,2.0,100.0,Partly Cloudy,1006.7,5,Autumn,5.5,Coastal,Cloudy,0
17.0,96,12.0,66.0,Overcast,1008.91,0,Spring,3.5,Mountain,Rainy,1
34.0,63,19.0,61.0,Overcast,1001.99,3,Autumn,3.0,Inland,Rainy,1
8.0,100,26.25,89.0,Overcast,999.36,4,Winter,2.0,Inland,Snowy,2
-7.0,85,1.0,76.0,Overcast,989.97,1,Winter,3.0,Inland,Snowy,2
4.0,98,15.5,67.0,Partly Cloudy,987.42,1,Winter,1.5,Inland,Snowy,2
35.0,68,3.5,69.0,Overcast,1049.7312500000003,8,Autumn,14.25,Inland,Rainy,1
21.0,65,5.0,7.0,Clear,1017.57,9,Winter,7.0,Mountain,Sunny,3
20.0,99,15.0,98.0,Overcast,994.3,2,Autumn,2.5,Inland,Rainy,1
25.0,62,6.0,8.0,Clear,1020.8,10,Autumn,9.5,Inland,Sunny,3
22.0,65,6.0,6.0,Clear,1010.58,5,Spring,5.5,Coastal,Sunny,3
-4.0,91,7.5,66.0,Overcast,986.45,1,Winter,2.0,Mountain,Snowy,2
19.0,69,11.0,86.0,Overcast,1013.98,1,Summer,1.5,Coastal,Rainy,1
23.0,61,10.0,72.0,Partly Cloudy,999.82,3,Winter,4.5,Mountain,Rainy,1
28.0,56,4.5,38.0,Partly Cloudy,1005.76,4,Winter,8.5,Inland,Cloudy,0
15.0,99,20.0,76.0,Overcast,999.95,4,Winter,1.5,Coastal,Rainy,1
0.0,86,19.5,53.0,Overcast,988.5,0,Winter,4.0,Inland,Snowy,2
36.0,57,4.5,11.0,Partly Cloudy,1015.75,7,Spring,6.0,Mountain,Sunny,3
29.0,65,18.0,91.0,Partly Cloudy,1010.71,0,Winter,5.0,Coastal,Rainy,1
-8.0,79,18.5,95.0,Partly Cloudy,996.93,1,Winter,1.5,Inland,Snowy,2
-10.0,72,9.5,89.0,Overcast,961.8412499999998,0,Spring,8.0,Mountain,Rainy,1
26.0,61,13.5,73.0,Partly Cloudy,995.23,2,Autumn,2.0,Inland,Rainy,1
30.0,45,6.0,9.0,Clear,1012.48,7,Summer,8.0,Mountain,Sunny,3
2.0,66,7.5,74.0,Overcast,986.01,1,Winter,2.0,Mountain,Snowy,2
30.0,48,7.0,18.0,Clear,1010.23,9,Summer,10.0,Coastal,Sunny,3
24.0,83,15.5,89.0,Overcast,1017.03,1,Summer,3.5,Mountain,Rainy,1
-8.0,76,12.5,50.0,Overcast,992.61,0,Winter,3.0,Inland,Snowy,2
33.0,99,16.5,89.0,Overcast,1015.58,2,Autumn,4.5,Mountain,Rainy,1
31.0,61,6.5,14.0,Partly Cloudy,1013.57,8,Summer,8.5,Coastal,Sunny,3
31.0,57,0.5,23.0,Partly Cloudy,1049.7312500000003,4,Winter,10.5,Mountain,Cloudy,0
29.0,48,7.0,18.0,Clear,1019.97,5,Spring,10.0,Mountain,Sunny,3
20.0,58,13.5,40.0,Partly Cloudy,1008.25,3,Winter,7.0,Coastal,Cloudy,0
34.0,84,12.0,84.0,Overcast,995.23,3,Summer,4.0,Mountain,Rainy,1
12.0,79,15.0,71.0,Overcast,1012.93,2,Spring,1.5,Coastal,Rainy,1
43.0,41,9.5,13.0,Clear,1022.24,9,Summer,6.0,Coastal,Sunny,3
-6.0,99,8.5,99.0,Overcast,992.5,10,Winter,1.0,Mountain,Snowy,2
-7.0,87,7.0,80.0,Partly Cloudy,994.48,0,Winter,3.5,Inland,Snowy,2
-8.0,80,15.5,84.0,Overcast,985.8,1,Winter,3.0,Mountain,Snowy,2
21.0,51,4.5,40.0,Partly Cloudy,1010.97,1,Summer,9.0,Inland,Cloudy,0
31.0,77,19.5,93.0,Partly Cloudy,1027.33,12,Winter,4.5,Coastal,Sunny,3
1.0,88,1.0,85.0,Overcast,986.06,0,Winter,2.0,Inland,Snowy,2
-2.0,69,10.0,64.0,Overcast,983.29,0,Winter,4.5,Mountain,Snowy,2
34.0,55,6.5,19.0,Partly Cloudy,1018.38,5,Autumn,7.5,Inland,Sunny,3
28.0,91,8.5,86.0,Clear,1029.24,6,Autumn,5.5,Mountain,Sunny,3
-10.0,89,9.5,93.0,Partly Cloudy,982.68,0,Winter,3.5,Mountain,Snowy,2
15.0,73,10.5,38.0,Partly Cloudy,1019.92,3,Autumn,5.0,Inland,Cloudy,0
31.0,59,10.5,33.0,Partly Cloudy,1000.41,3,Winter,7.5,Coastal,Cloudy,0
34.0,85,20.0,70.0,Partly Cloudy,997.52,1,Spring,1.5,Inland,Rainy,1
12.0,53,9.5,19.0,Partly Cloudy,1003.07,1,Autumn,9.0,Inland,Cloudy,0
36.0,32,1.5,19.0,Partly Cloudy,1013.5,11,Summer,9.0,Mountain,Sunny,3
27.0,67,1.5,24.0,Partly Cloudy,1015.25,1,Spring,6.5,Mountain,Cloudy,0
-10.0,64,18.0,61.0,Overcast,984.77,0,Winter,2.0,Mountain,Snowy,2
39.0,38,8.0,74.0,Partly Cloudy,1049.7312500000003,9,Autumn,14.25,Coastal,Cloudy,0
19.0,73,3.0,100.0,Partly Cloudy,1008.56,8,Spring,4.0,Inland,Cloudy,0
26.0,49,9.0,10.0,Clear,1021.08,9,Autumn,7.0,Coastal,Sunny,3
22.0,86,12.0,65.0,Partly Cloudy,999.86,1,Summer,3.5,Mountain,Rainy,1
-5.0,81,18.0,88.0,Overcast,988.33,1,Winter,2.5,Mountain,Snowy,2
55.0,78,3.0,91.0,Clear,1029.67,2,Autumn,3.0,Inland,Sunny,3
26.0,63,12.5,82.0,Overcast,991.38,0,Autumn,2.0,Inland,Rainy,1
22.0,67,4.0,45.0,Overcast,1011.7,2,Summer,7.0,Inland,Cloudy,0
46.0,76,26.25,100.0,Overcast,1000.36,4,Autumn,2.5,Mountain,Rainy,1
3.0,95,15.5,67.0,Overcast,992.03,1,Winter,1.0,Inland,Snowy,2
32.0,61,13.5,10.0,Partly Cloudy,1005.59,3,Spring,7.0,Coastal,Cloudy,0
21.0,80,13.5,59.0,Overcast,998.35,0,Spring,4.5,Coastal,Rainy,1
48.0,91,26.25,85.0,Overcast,1008.97,2,Autumn,2.5,Inland,Rainy,1
42.0,61,13.0,69.0,Overcast,1004.98,0,Summer,11.0,Mountain,Snowy,2
3.0,77,12.0,59.0,Overcast,991.63,0,Winter,4.0,Mountain,Snowy,2
14.0,64,5.0,47.0,Overcast,1017.75,3,Summer,6.0,Mountain,Cloudy,0
14.0,56,10.0,44.0,Overcast,1008.83,4,Summer,8.0,Mountain,Cloudy,0
20.0,61,18.0,58.0,Overcast,1018.79,1,Summer,4.5,Coastal,Rainy,1
53.0,100,7.5,73.0,Clear,1023.18,13,Winter,6.5,Mountain,Sunny,3
-2.0,60,2.0,91.0,Overcast,985.21,0,Winter,5.0,Mountain,Snowy,2
32.0,24,4.5,19.0,Clear,1012.66,5,Spring,8.5,Inland,Sunny,3
21.0,23,9.0,71.0,Partly Cloudy,1049.7312500000003,11,Summer,2.0,Inland,Rainy,1
15.0,85,26.25,92.0,Partly Cloudy,1003.57,9,Summer,0.5,Coastal,Cloudy,0
19.0,67,4.5,21.0,Partly Cloudy,1010.75,1,Winter,6.0,Inland,Cloudy,0
19.0,86,9.0,97.0,Partly Cloudy,995.9,1,Winter,1.5,Inland,Rainy,1
34.0,76,4.0,49.0,Partly Cloudy,1013.56,4,Winter,5.0,Mountain,Cloudy,0
2.0,81,19.5,64.0,Overcast,991.54,1,Winter,2.0,Inland,Snowy,2
13.0,75,2.0,48.0,Overcast,1017.18,2,Winter,5.5,Inland,Cloudy,0
25.0,72,12.0,24.0,Overcast,1017.17,2,Autumn,7.0,Mountain,Cloudy,0
32.0,67,8.5,19.0,Overcast,1015.46,2,Spring,8.0,Inland,Cloudy,0
18.0,63,7.0,16.0,Overcast,1009.44,1,Winter,6.5,Coastal,Cloudy,0
2.0,89,11.5,94.0,Overcast,993.3,1,Winter,3.5,Mountain,Snowy,2
26.0,88,7.5,92.0,Overcast,992.28,1,Spring,4.0,Coastal,Rainy,1
0.0,46,8.0,45.0,Overcast,1049.7312500000003,9,Spring,3.5,Coastal,Sunny,3
11.0,62,9.5,20.0,Partly Cloudy,1007.4,3,Spring,5.5,Mountain,Cloudy,0
36.0,58,6.5,13.0,Clear,1011.95,9,Autumn,8.5,Inland,Sunny,3
32.0,67,5.5,35.0,Partly Cloudy,1016.79,3,Winter,5.5,Coastal,Cloudy,0
17.0,79,17.5,90.0,Partly Cloudy,994.97,2,Summer,2.0,Inland,Rainy,1
24.0,54,6.0,47.0,Overcast,1008.42,3,Summer,8.0,Mountain,Cloudy,0
33.0,46,2.5,11.0,Partly Cloudy,1021.87,6,Autumn,6.0,Mountain,Sunny,3
14.0,82,5.0,85.0,Partly Cloudy,1003.88,1,Spring,1.5,Inland,Rainy,1
33.0,78,12.5,55.0,Overcast,1009.8,1,Summer,4.5,Coastal,Rainy,1
-4.0,70,1.5,92.0,Overcast,999.64,0,Winter,3.5,Mountain,Snowy,2
30.0,82,12.0,68.0,Overcast,1000.06,1,Spring,3.5,Inland,Rainy,1
11.0,70,12.0,45.0,Partly Cloudy,1001.01,2,Spring,8.0,Inland,Cloudy,0
11.0,35,11.5,89.0,Partly Cloudy,961.8412499999998,14,Autumn,14.25,Inland,Sunny,3
16.0,70,14.0,57.0,Overcast,1015.77,0,Summer,4.5,Coastal,Rainy,1
1.0,75,11.5,95.0,Partly Cloudy,982.4,0,Winter,2.5,Inland,Snowy,2
21.0,21,6.5,9.0,Clear,1016.22,11,Autumn,8.5,Inland,Sunny,3
42.0,45,3.5,3.0,Clear,1017.33,8,Spring,7.5,Coastal,Sunny,3
-7.0,82,18.5,55.0,Partly Cloudy,992.44,0,Winter,1.0,Inland,Snowy,2
-5.0,34,14.5,91.0,Partly Cloudy,1049.7312500000003,6,Spring,2.5,Mountain,Snowy,2
2.0,66,6.0,61.0,Partly Cloudy,985.05,1,Winter,1.5,Mountain,Snowy,2
28.0,70,10.0,76.0,Overcast,1011.27,1,Summer,2.5,Inland,Rainy,1
17.0,51,2.0,20.0,Partly Cloudy,1011.82,1,Winter,6.0,Mountain,Cloudy,0
33.0,74,5.5,93.0,Overcast,993.4,1,Autumn,4.5,Mountain,Rainy,1
-1.0,64,7.5,70.0,Overcast,994.69,1,Winter,4.5,Mountain,Snowy,2
30.0,88,12.0,84.0,Overcast,1006.2,1,Autumn,2.0,Coastal,Rainy,1
28.0,36,4.0,5.0,Partly Cloudy,1021.31,11,Spring,6.0,Mountain,Sunny,3
43.0,92,14.0,72.0,Clear,1027.92,10,Summer,4.5,Inland,Sunny,3
1.0,60,18.5,64.0,Overcast,994.13,0,Winter,5.0,Mountain,Snowy,2
-3.0,100,26.25,84.0,Overcast,991.4,11,Winter,6.0,Mountain,Snowy,2
31.0,53,7.5,5.0,Clear,1023.5,10,Autumn,9.5,Inland,Sunny,3
23.0,54,6.0,27.0,Partly Cloudy,1010.01,1,Summer,5.5,Coastal,Cloudy,0
37.0,73,11.0,84.0,Cloudy,1005.06,1,Winter,6.5,Inland,Cloudy,0
33.0,71,9.5,29.0,Partly Cloudy,1016.66,3,Autumn,5.5,Inland,Cloudy,0
33.0,30,4.5,10.0,Clear,1025.84,5,Winter,5.5,Mountain,Sunny,3
19.0,75,13.5,10.0,Overcast,1008.41,1,Summer,7.5,Coastal,Cloudy,0
28.0,72,6.0,65.0,Partly Cloudy,1013.91,3,Summer,3.0,Coastal,Rainy,1
23.0,78,17.5,54.0,Overcast,990.24,2,Summer,4.0,Mountain,Rainy,1
31.0,94,16.5,65.0,Overcast,1006.65,3,Spring,5.0,Mountain,Rainy,1
40.0,27,4.0,6.0,Clear,1015.34,7,Winter,8.5,Coastal,Sunny,3
18.0,62,12.0,87.0,Overcast,1016.92,2,Autumn,5.0,Coastal,Rainy,1
32.0,69,6.0,13.0,Partly Cloudy,1017.58,5,Winter,6.5,Coastal,Sunny,3
22.0,91,5.0,68.0,Partly Cloudy,990.91,1,Winter,1.5,Inland,Rainy,1
35.0,25,7.5,14.0,Partly Cloudy,1022.54,5,Summer,5.0,Inland,Sunny,3
30.0,57,2.5,41.0,Partly Cloudy,1017.86,2,Winter,6.0,Coastal,Cloudy,0
12.0,64,1.5,38.0,Partly Cloudy,1018.65,3,Spring,5.5,Mountain,Cloudy,0
1.0,77,18.5,55.0,Overcast,991.04,1,Winter,5.0,Mountain,Snowy,2
0.0,79,14.5,98.0,Overcast,980.72,1,Winter,2.0,Inland,Snowy,2
13.0,72,1.5,46.0,Overcast,1000.55,4,Spring,8.0,Coastal,Cloudy,0
-5.0,66,5.5,72.0,Overcast,993.83,0,Winter,3.0,Inland,Snowy,2
24.0,70,12.0,16.0,Overcast,1008.0,2,Winter,8.0,Mountain,Cloudy,0
23.0,49,5.5,9.0,Clear,1011.81,9,Autumn,8.0,Inland,Sunny,3
33.0,58,6.5,1.0,Clear,1026.56,8,Summer,5.5,Mountain,Sunny,3
22.0,96,26.25,95.0,Partly Cloudy,1004.06,9,Summer,2.5,Coastal,Cloudy,0
24.0,27,9.0,12.0,Clear,1028.62,9,Autumn,5.0,Mountain,Sunny,3
11.0,68,8.0,73.0,Overcast,995.42,3,Winter,2.5,Coastal,Rainy,1
-10.0,99,5.5,94.0,Partly Cloudy,994.11,0,Winter,3.5,Inland,Snowy,2
30.0,81,11.0,97.0,Overcast,1018.76,1,Autumn,3.0,Inland,Rainy,1
31.0,68,12.5,46.0,Partly Cloudy,1003.94,2,Spring,8.5,Inland,Cloudy,0
0.0,86,0.5,79.0,Overcast,984.0,0,Winter,2.5,Mountain,Snowy,2
20.0,72,8.0,43.0,Overcast,1016.74,3,Summer,8.5,Coastal,Cloudy,0
16.0,82,5.5,82.0,Partly Cloudy,1012.96,1,Winter,1.5,Inland,Rainy,1
22.0,74,16.0,82.0,Overcast,994.28,2,Summer,4.5,Mountain,Rainy,1
31.0,99,9.5,93.0,Overcast,1018.47,3,Winter,3.5,Coastal,Rainy,1
29.0,63,8.5,9.0,Clear,1018.05,9,Spring,7.0,Coastal,Sunny,3
48.0,47,1.5,97.0,Overcast,961.8412499999998,4,Spring,14.25,Coastal,Sunny,3
36.0,60,7.0,9.0,Clear,1012.51,8,Autumn,5.5,Mountain,Sunny,3
39.0,68,5.5,2.0,Clear,1013.68,11,Winter,9.5,Coastal,Sunny,3
23.0,79,9.0,14.0,Overcast,1005.9,1,Autumn,8.0,Coastal,Cloudy,0
25.0,26,13.0,93.0,Overcast,961.8412499999998,8,Autumn,6.5,Mountain,Sunny,3
4.0,88,7.0,85.0,Overcast,988.15,1,Winter,1.5,Mountain,Snowy,2
41.0,53,3.5,15.0,Clear,1027.23,6,Winter,9.5,Coastal,Sunny,3
14.0,50,13.5,43.0,Overcast,1011.2,4,Summer,8.5,Inland,Cloudy,0
22.0,49,0.0,10.0,Clear,1023.31,10,Summer,6.5,Inland,Sunny,3
1.0,83,6.0,54.0,Overcast,982.91,0,Winter,4.0,Mountain,Snowy,2
1.0,95,4.0,97.0,Overcast,987.61,0,Winter,3.0,Inland,Snowy,2
32.0,61,10.0,96.0,Partly Cloudy,1049.7312500000003,13,Summer,14.25,Coastal,Cloudy,0
16.0,74,14.0,27.0,Partly Cloudy,1009.27,3,Autumn,8.5,Inland,Cloudy,0
47.0,100,19.0,76.0,Clear,1021.14,0,Autumn,9.5,Mountain,Sunny,3
12.0,73,13.5,17.0,Overcast,1005.01,3,Winter,5.5,Inland,Cloudy,0
20.0,70,10.0,31.0,Overcast,1001.78,1,Winter,7.0,Coastal,Cloudy,0
33.0,57,14.0,12.0,Overcast,1014.75,2,Summer,6.0,Mountain,Cloudy,0
28.0,87,7.5,77.0,Overcast,999.7,2,Spring,4.0,Mountain,Rainy,1
-20.0,64,11.5,78.0,Partly Cloudy,1007.36,14,Summer,14.25,Inland,Snowy,2
16.0,55,2.5,40.0,Overcast,1003.02,3,Autumn,7.0,Inland,Cloudy,0
0.0,71,19.5,53.0,Overcast,980.18,0,Winter,4.0,Inland,Snowy,2
28.0,44,1.0,9.0,Clear,1015.33,9,Spring,6.5,Inland,Sunny,3
-2.0,82,19.0,93.0,Partly Cloudy,990.9,1,Winter,2.0,Mountain,Snowy,2
12.0,89,19.0,98.0,Overcast,991.74,0,Winter,4.5,Coastal,Rainy,1
-5.0,73,14.5,52.0,Overcast,999.76,0,Winter,1.5,Inland,Snowy,2
25.0,81,8.5,53.0,Overcast,1012.74,3,Summer,1.0,Inland,Rainy,1
21.0,54,0.0,16.0,Overcast,1018.63,3,Autumn,5.5,Coastal,Cloudy,0
28.0,65,6.5,44.0,Partly Cloudy,1015.54,2,Autumn,5.5,Mountain,Cloudy,0
11.0,60,9.0,47.0,Overcast,1017.79,1,Summer,8.5,Coastal,Cloudy,0
12.0,76,16.0,80.0,Overcast,1001.06,2,Winter,1.5,Coastal,Rainy,1
-5.0,94,14.5,57.0,Overcast,999.98,0,Winter,3.5,Inland,Snowy,2
-4.0,66,11.5,70.0,Overcast,995.27,0,Winter,4.0,Mountain,Snowy,2
25.0,78,9.5,91.0,Overcast,990.37,0,Winter,3.5,Inland,Rainy,1
